42103

154, 119, 34, 60, 3, 159, 163, 137, 21
133, 54, 99, 69, 73, 47, 89, 13, 162
178, 199, 127, 283, 191, 295, 206
196, 177, 280, 318, 134, 276, 210, 217
112, 16, 52, 148, 53, 48, 50, 74
24, 93, 333, 338, 147, 143, 118
302, 82, 321, 316, 286, 166, 155, 306
168, 214, 138, 33, 175, 297, 234, 304
275, 190, 229, 142, 209, 25, 61, 250, 213
327, 120, 29, 207, 64, 36, 139, 153
314, 193, 227, 311, 273, 334, 242, 258
248, 268, 204, 237, 128, 88, 319, 322
223, 288, 305, 342, 198, 176, 260, 339
179, 91, 83, 42, 269, 161, 90, 294
200, 174, 329, 216, 298, 169, 146, 194
241, 238, 55, 110, 76, 337, 272
285, 14, 81, 278, 243, 70, 308
290, 271, 222, 221, 259, 173, 255, 330
27, 313, 291, 4, 98, 5, 2, 45
59, 151, 51, 49, 156, 37, 7, 188
266, 103, 274, 323, 328, 326, 186, 251
20, 167, 58, 23, 95, 253, 6, 11
111, 263, 281, 19, 226, 57, 107
336, 324, 129, 265, 232, 287, 310, 63, 256
30, 301, 224, 72, 15, 246, 41, 185
208, 12, 145, 104, 296, 171, 26, 115, 325
10, 46, 192, 165, 240, 184, 277, 182
96, 343, 66, 79, 201, 335, 262, 31, 212
1, 152, 124, 292, 230, 261, 9, 75
331, 218, 202, 205, 172, 211, 340, 341
187, 332, 197, 121, 267, 113, 67
307, 236, 85, 109, 97, 170, 303
130, 44, 8, 40, 32, 123, 43, 35
92, 62, 17, 100, 252, 71, 299
312, 135, 94, 18, 101, 108, 164, 114
106, 320, 116, 279, 183, 140, 78, 157
249, 87, 117, 126, 131, 180, 264, 84
293, 245, 247, 244, 228, 181, 132, 158
309, 125, 102, 105, 86, 56, 28, 235, 254
39, 65, 149, 144, 231, 150, 195, 77
160, 225, 38, 282, 220, 189, 215, 284
270, 233, 141, 80, 315, 300, 22, 219
122, 136, 257, 68, 289, 317, 203, 239
