190918

472, 467, 401
469, 432, 387
8, 253, 392
462, 575, 370, 412
54, 373, 504
31, 408, 275
215, 323, 49, 565
274, 38, 313, 123
405, 63, 260, 96
19, 40, 265
89, 561, 366, 501
200, 133, 210, 273
61, 131, 367, 187
269, 230, 217
11, 136, 73, 204
4, 573, 377, 478
333, 257, 115, 70
288, 227, 233
347, 338, 448, 386
360, 343, 80
456, 281, 425, 409
152, 164, 268, 171
431, 550, 375, 568
464, 528, 404
488, 315, 500
83, 112, 159, 65
435, 81, 97, 148
324, 484, 342, 480
495, 385, 426, 527
364, 506, 213, 380
393, 194, 494, 198
437, 369, 446
86, 156, 427, 192
525, 258, 422
536, 340, 509, 450
372, 558, 451, 125
463, 359, 571, 545
538, 62, 41, 43
52, 284, 250
294, 391, 576, 512
53, 318, 150
507, 334, 526, 307
310, 241, 420, 498
317, 442, 474, 547
33, 244, 160, 254
109, 191, 524, 223
397, 348, 205, 327
165, 312, 184, 403, 555
293, 357, 567, 416
331, 182, 355, 246
363, 141, 229, 162
128, 132, 129
286, 211, 243, 64
459, 532, 319, 465
508, 496, 74
514, 237, 543
483, 339, 548, 510
30, 151, 95, 127
1, 71, 155
304, 554, 569, 203
117, 103, 173, 186
29, 383, 145, 376
212, 183, 16
221, 100, 577, 444
18, 322, 516, 578
21, 39, 37, 68
374, 236, 92, 299
297, 99, 556, 396
584, 497, 511, 142
530, 356, 399
267, 166, 449, 15
384, 51, 583
546, 292, 102
564, 505, 306
220, 515, 358, 222
301, 475, 580
135, 149, 14
311, 430, 277, 189, 180
240, 300, 381
395, 139, 445, 34
436, 581, 207
82, 2, 111, 443
362, 570, 440, 470
121, 26, 271
101, 36, 174, 158
105, 428, 256, 66
534, 553, 296, 309
58, 91, 167, 259
537, 305, 263, 337
314, 513, 402, 346
361, 85, 544
429, 353, 411
433, 130, 137
177, 87, 255
557, 503, 140
238, 289, 7, 214
20, 202, 262, 549
520, 572, 328, 471
90, 6, 88, 248
344, 531, 563, 295
394, 413, 94
519, 79, 13, 251
390, 481, 3, 365
9, 235, 195
415, 533, 341
560, 196, 410
104, 67, 93, 398
55, 35, 75, 285
59, 551, 452
389, 491, 5, 201
453, 574, 541, 424
264, 169, 46
303, 521, 476, 368
143, 147, 199, 245
419, 329, 23, 224
170, 287, 57
209, 77, 17, 226
298, 291, 118, 247
190, 457, 447
282, 32, 252, 22
197, 168, 42, 157
414, 120, 487
106, 231, 249
585, 439, 517, 349
107, 280, 178, 188
330, 172, 179
529, 371, 562, 270
345, 326, 116, 468
72, 10, 28
421, 485, 335
47, 216, 24, 69
535, 60, 379, 540
242, 407, 454, 175
493, 27, 350
438, 176, 76, 290
218, 208, 56
279, 153, 276, 283
50, 163, 114, 126
502, 455, 316
206, 12, 98, 154
134, 579, 78, 460
138, 124, 228, 225
434, 48, 582, 351
441, 108, 400, 266
302, 479, 489, 482
559, 518, 499, 552
234, 219, 110, 44
458, 232, 181
261, 272, 113, 45
490, 477, 486, 473
406, 423, 320, 388
308, 418, 144, 185
466, 352, 378, 539
25, 122, 119, 193
492, 321, 417, 336
566, 239, 522
161, 84, 146, 278
332, 542, 382, 325
523, 354, 461
