190637

8, 253, 392
410, 196, 560
109, 191, 524, 223
59, 551, 452
535, 379, 60, 540
295, 563, 531, 344
64, 243, 211, 286
11, 136, 73, 204
470, 440, 570, 362
248, 88, 6, 90
549, 262, 202, 20
336, 417, 321, 459
335, 485, 421
585, 349, 517, 439
552, 499, 518, 559
30, 151, 95, 127
555, 403, 184, 312, 165
128, 132, 129
539, 352, 378, 466
520, 572, 328, 471
200, 133, 210, 273
310, 241, 420, 498
415, 533, 341
325, 382, 542, 332
198, 494, 194, 393
363, 141, 229, 162
469, 432, 387
482, 489, 479, 302
126, 114, 163, 50
514, 237, 543
142, 511, 497, 584
275, 408, 31
140, 503, 557
54, 373, 504
251, 13, 79, 519
155, 71, 1
478, 377, 573, 4
465, 319, 532, 492
246, 355, 182, 331
245, 199, 147, 143
314, 513, 402, 346
306, 505, 564
269, 230, 217
201, 5, 491, 389
462, 575, 370, 412
82, 2, 111, 443
134, 579, 78, 460
261, 272, 113, 45
333, 409, 425, 299
57, 287, 170
25, 122, 9, 110
297, 99, 556, 396
47, 216, 24, 69
430, 255, 281, 456
80, 360, 343
508, 496, 74
179, 172, 330
453, 574, 541, 424
277, 257, 115, 87
337, 263, 305, 537
197, 168, 42, 157
193, 195, 219
566, 239, 522
56, 208, 218
404, 528, 464
525, 258, 422
441, 108, 400, 266
433, 130, 137
283, 276, 153, 279
304, 554, 569, 203
376, 145, 383, 29
150, 318, 53
480, 342, 484, 324
547, 474, 442, 317
264, 169, 46
267, 166, 449, 15
212, 183, 16
546, 292, 102
138, 124, 228, 225
473, 486, 477, 490
290, 76, 176, 438
226, 17, 77, 209
148, 97, 81, 435
347, 338, 448, 386
301, 475, 580
58, 91, 167, 259
278, 146, 84, 161
461, 354, 523
510, 548, 339, 483
288, 227, 233
104, 93, 67, 398
303, 521, 476, 368
106, 231, 249
247, 118, 291, 298
565, 49, 323, 215
444, 577, 100, 221
293, 357, 567, 416
70, 189, 177, 180
190, 457, 447
512, 576, 391, 294
94, 413, 394
487, 120, 414
527, 426, 385, 495
105, 428, 256, 66
529, 371, 562, 270
361, 85, 544
538, 62, 41, 43
65, 159, 112, 83
406, 423, 320, 388
311, 92, 236, 374
285, 75, 35, 55
308, 418, 144, 185
450, 509, 340, 536
61, 131, 367, 187
101, 36, 174, 158
33, 244, 160, 254
327, 205, 348, 397
14, 149, 135
242, 407, 454, 175
171, 268, 164, 152
472, 467, 401
282, 32, 252, 22
502, 455, 316
463, 359, 571, 545
500, 315, 488
34, 445, 139, 395
86, 156, 427, 192
437, 369, 446
119, 235, 44, 234
18, 322, 516, 578
181, 232, 458
68, 37, 39, 21
96, 260, 63, 405
399, 356, 530
117, 103, 173, 186
568, 375, 550, 431
52, 284, 250
534, 553, 296, 309
238, 289, 7, 214
372, 558, 451, 125
188, 178, 107, 280
493, 27, 350
154, 98, 12, 206
380, 213, 506, 364
436, 581, 207
434, 48, 582, 351
384, 51, 583
501, 366, 561, 89
19, 40, 265
381, 300, 240
358, 222, 515, 220
72, 10, 28
411, 353, 429
121, 26, 271
419, 329, 224, 23
390, 481, 3, 365
468, 116, 326, 345
274, 38, 313, 123
307, 334, 526, 507
